"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
38.98243,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",8,"time out",34
47.25653,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",8,"time in",35
47.39383,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",8,"Branching Acropora",35
47.48643,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",8,"Branching Acropora",35
47.51203,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",8,"Branching Acropora",35
47.56323,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",8,"Branching Acropora",35
47.61793,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",8,"time out",35
48.21333,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",36
48.31363,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",36
48.44903,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",36
54.09847,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",37
54.14027,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",37
54.16357,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",37
54.24757,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",37
54.38737,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",37
56.54737,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",38
56.58347,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",38
56.62607,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",38
56.64967,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",38
56.72527,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",38
56.77837,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",38
56.82787,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",38
56.95917,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",38
56.98447,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",38
57.06567,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",38
57.20857,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",38
57.23327,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",38
57.29397,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",38
59.15387,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",39
59.32287,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",39
59.43747,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",39
59.44917,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",39
59.50447,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",39
59.58317,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",39
