"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
17.06017,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.06847,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Porites",22
17.07437,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.08937,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Porites",22
17.09077,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.10407,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.11107,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.11577,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.11797,"Chaetodontidae","Chaetodon","lunulatus",1,"Passing",8,"time out",25
17.15577,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"unknown",24
17.17107,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"unknown",24
17.17167,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.17417,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.19387,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.20617,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.21307,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.21777,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.21807,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"unknown",22
17.23197,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.23507,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time out",24
17.35767,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.36377,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Favites",22
17.36967,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Favites",22
17.42887,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Favites",22
17.43387,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.43997,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"Porites",21
17.44717,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time out",22
17.48477,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.49417,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",6,"unknown",21
17.52057,"Chaetodontidae","Chaetodon","lunulatus",1,"Passing",6,"time out",21
17.52647,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.60817,"Chaetodontidae","Chaetodon","rainfordi",1,"Feeding",6,"Pocillopora",19
17.61987,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",4,"time in",26
17.65577,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",26
17.69047,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",26
17.71917,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time in",27
17.73387,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"unknown",27
17.74387,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",26
17.79177,"Chaetodontidae","Chaetodon","rainfordi",1,"Passing",6,"time out",19
17.88047,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",26
17.91547,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"unknown",27
17.95217,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time out",27
18.07057,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",26
18.13537,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",26
18.14817,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",26
18.25277,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Branching Acropora",26
18.32727,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Branching Acropora",26
18.35677,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Branching Acropora",26
18.41707,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Branching Acropora",26
18.42787,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",4,"time out",26
19.26737,"Chaetodontidae","Chaetodon","lunulatus",1,"Passing",8,"time in",28
19.35437,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",4,"time in",29
19.36917,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Branching Acropora",29
19.38997,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",8,"unknown",28
19.44787,"Chaetodontidae","Chaetodon","unimaculatus",1,"Passing",12,"time in",30
19.45057,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"unknown",29
19.47337,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.48287,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.48977,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"unknown",29
19.49207,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",8,"unknown",28
19.55547,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.56487,"Chaetodontidae","Chaetodon","lunulatus",1,"Passing",8,"time out",28
19.56627,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.57127,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Tabular Acropora",29
19.57967,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.59047,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.59967,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.61247,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.62797,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.65577,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.67217,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.69617,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.78757,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.81377,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"unknown",30
19.81517,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",29
19.84437,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",29
19.91777,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",29
19.93917,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",29
19.94637,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"Branching Acropora",30
19.95557,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"Branching Acropora",30
19.98917,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"Branching Acropora",30
19.98917,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",29
20.00977,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"Branching Acropora",30
20.02507,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Pocillopora",29
20.04007,"Chaetodontidae","Chaetodon","unimaculatus",1,"Feeding",12,"Branching Acropora",30
20.07457,"Chaetodontidae","Chaetodon","unimaculatus",1,"Passing",12,"time out",30
20.07457,"Chaetodontidae","Chaetodon","lunulatus",1,"Passing",8,"time in",31
20.18777,"Chaetodontidae","Chaetodon","lunulatus",1,"Passing",8,"time out",31
20.19077,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"unknown",29
20.28647,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",4,"Branching Acropora",29
20.46187,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",4,"time out",29
20.53977,"Chaetodontidae","Chaetodon","lunulatus",1,"Passing",8,"time in",32
20.67017,"Chaetodontidae","Chaetodon","lunulatus",1,"Feeding",8,"Tabular Acropora",32
