"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
54.46607,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",21
54.48197,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",22
54.48277,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",21
54.51027,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",21
54.51307,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",22
54.51947,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",22
54.52417,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",21
57.51667,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",23
57.55087,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",8,"time in",24
57.60727,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",8,"time out",24
57.66877,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",23
59.05877,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",25
59.11487,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",26
59.12577,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",25
59.16497,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",27
59.32287,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",27
59.38577,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",26
